"","B2Bcontrolrep1","B2Bcontrolrep2","B2BNicotine125rep1","B2BNicotine125rep2","B2BNicotine250rep1","B2BNicotine250rep2","Hcontrolrep1","Hcontrolrep2","Hcontrol125rep1","Hcontrol125rep2","Hcontrol250rep1","Hcontrol250rep2"
"ENSG00000223989",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000285701",0,0,0,0,0,0,1,0,0,0,0,0
"ENSG00000162441",1572,2749,2017,1988,1690,3061,1308,1836,2111,1823,2249,2637
"ENSG00000228150",8,12,11,20,7,14,2,11,7,6,5,12
"ENSG00000173614",284,482,342,380,357,644,258,384,484,300,494,565
"ENSG00000202415",4,12,8,5,6,11,3,4,8,8,7,6
"ENSG00000283611",0,0,0,0,0,2,0,1,1,0,0,0
"ENSG00000265521",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000241326",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000162444",667,1191,960,981,800,1395,714,875,1173,914,1549,2066
"ENSG00000130939",2332,3930,3121,2862,2849,5114,2457,3197,4413,3362,5296,5542
"ENSG00000224340",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000233623",0,1,1,0,0,2,0,0,0,0,3,0
"ENSG00000201746",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000054523",3776,6541,5369,5211,5099,8973,3914,4904,6490,4939,6788,7657
"ENSG00000264881",0,0,0,0,0,1,0,0,0,0,0,0
"ENSG00000199562",41,59,54,51,45,82,33,41,56,41,43,43
"ENSG00000264501",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000284735",6,7,6,2,1,8,8,3,4,4,3,14
"ENSG00000284642",4,8,3,3,3,17,7,6,7,5,5,7
"ENSG00000142657",5588,9661,8135,8121,7145,12319,4663,5956,8035,6134,8408,9573
"ENSG00000271989",2,1,0,3,3,6,0,0,1,1,2,6
"ENSG00000251503",0,0,0,1,1,0,0,0,1,0,0,1
"ENSG00000175279",92,173,155,174,115,241,101,135,224,160,215,225
"ENSG00000241563",1,3,2,3,3,1,3,4,3,3,5,1
"ENSG00000160049",2409,3983,3066,3071,3004,5481,2122,2839,3973,2602,4162,4679
"ENSG00000203469",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000142655",812,1340,1092,1119,1017,1732,981,1180,1652,1209,1899,2318
"ENSG00000287727",3,2,2,3,4,3,4,9,6,3,7,4
"ENSG00000243267",0,0,0,0,1,1,0,0,0,0,0,5
"ENSG00000130940",236,411,337,377,353,642,200,257,364,269,430,430
"ENSG00000272078",19,37,18,21,22,46,16,31,39,33,40,56
"ENSG00000225158",0,0,0,0,0,0,0,0,0,0,0,0
